GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TeaStore Auth,tools.descartes.teastore.auth.startup,AuthStartup,28,0,0,0,9,0,3,0,3,0
TeaStore Auth,tools.descartes.teastore.auth.security,BCryptProvider,4,0,0,0,1,0,1,0,1,0
TeaStore Auth,tools.descartes.teastore.auth.security,ConstantKeyProvider,0,5,0,0,0,2,0,2,0,2
TeaStore Auth,tools.descartes.teastore.auth.security,ShaSecurityProvider,13,115,3,7,6,28,3,8,0,6
TeaStore Auth,tools.descartes.teastore.auth.security,RandomSessionIdGenerator,12,0,0,0,3,0,3,0,3,0
TeaStore Auth,tools.descartes.teastore.auth.rest,AuthCartRest,172,0,14,0,38,0,11,0,4,0
TeaStore Auth,tools.descartes.teastore.auth.rest,ReadyRest,8,0,0,0,2,0,2,0,2,0
TeaStore Auth,tools.descartes.teastore.auth.rest,AuthUserActionsRest,214,0,10,0,51,0,10,0,5,0
